TIC;Class
48022676;Modul
48217508;Modul
65403216;Modul
110798652;Modul
158490159;Modul
162128750;Modul
198279946;Modul
198388195;Modul
220323146;Modul
229452839;Modul
229670516;Modul
229793060;Modul
232643392;Modul
236785664;Modul
236872887;Modul
238314043;Modul
238381092;Modul
238489837;Modul
258461221;Modul
268971806;Modul
269118344;Modul
276549422;Modul
314576961;Modul
322312868;Modul
329074395;Modul
358467049;Modul
372913684;Modul
392569763;Modul
393852409;Modul
427393058;Modul
47583864;Modul
47763235;Modul
48503549;Modul
50787573;Modul
159502560;Modul
160553438;Modul
162616331;Modul
198456386;Modul
229966103;Modul
233121908;Modul
233387809;Modul
233613741;Modul
236773991;Modul
258954765;Modul
264075158;Modul
264180023;Modul
265080539;Modul
275038687;Modul
275420565;Modul
276653683;Modul
278358300;Modul
284563819;Modul
287193769;Modul
305255878;Modul
311432346;Modul
321818578;Modul
322312832;Modul
335036191;Modul
352556540;Modul
377099704;Modul
402894425;Modul
412359545;Modul
427393920;Modul
429412649;Modul
464839773;Modul
469523327;Modul
202442617;Modul
224607716;Modul
233539736;Modul
269696438;Modul
337886863;Modul
352762746;Modul
427312571;Modul
4491131;Modul
16876025;Modul
39174351;Modul
55753808;Modul
58105597;Modul
67423472;Modul
68495594;Modul
95526898;Modul
99641129;Modul
118269334;Modul
137306463;Modul
137608661;Modul
138618727;Modul
148785530;Modul
158387021;Modul
165547989;Modul
165650748;Modul
165797593;Modul
175402069;Modul
186484490;Modul
198240464;Modul
198386262;Modul
202466623;Modul
220573709;Modul
229751806;Modul
232633722;Modul
258109545;Modul
258826647;Modul
270491267;Modul
271164763;Modul
277013493;Modul
284759068;Modul
311898870;Modul
313303167;Modul
316681593;Modul
320039694;Modul
333419799;Modul
359055762;Modul
365213081;Modul
367779738;Modul
384992041;Modul
394020645;Modul
398940155;Modul
417620454;Modul
430960919;Modul
441725813;Modul
458785169;Modul
4289780;Modul
10510382;Modul
11286209;Modul
12149245;Modul
50743458;Modul
100728163;Modul
120638388;Modul
129361218;Modul
153976829;Modul
160583519;Modul
175599737;Modul
177860391;Modul
187458882;Modul
229479255;Modul
243276811;Modul
277502552;Modul
289536555;Modul
298093039;Modul
305850608;Modul
313986452;Modul
321335373;Modul
322060937;Modul
335682563;Modul
337364158;Modul
353895732;Modul
356341059;Modul
377159029;Modul
393790402;Modul
407615454;Modul
412353405;Modul
427393350;Modul
427394772;Modul
427395300;Modul
1152358;Noisy
4373827;Noisy
9346617;Noisy
9375378;Noisy
9376301;Noisy
14249970;Noisy
16046443;Noisy
16876165;Noisy
17124499;Noisy
17656164;Noisy
18745933;Noisy
21343832;Noisy
21372970;Noisy
21599042;Noisy
21682866;Noisy
23708714;Noisy
39947484;Noisy
47377536;Noisy
47581488;Noisy
55642026;Noisy
56863037;Noisy
57189056;Noisy
57257430;Noisy
63719894;Noisy
68873560;Noisy
69025787;Noisy
71146552;Noisy
76343753;Noisy
82286180;Noisy
85145647;Noisy
85400193;Noisy
85407360;Noisy
85979436;Noisy
86430323;Noisy
88021496;Noisy
88484868;Noisy
88565376;Noisy
91198426;Noisy
92124675;Noisy
95767039;Noisy
95856782;Noisy
99091407;Noisy
99899463;Noisy
99954966;Noisy
100013600;Noisy
101167744;Noisy
101548929;Noisy
115286784;Noisy
116043802;Noisy
118298029;Noisy
118334802;Noisy
136975077;Noisy
137504709;Noisy
137714020;Noisy
138440897;Noisy
139271306;Noisy
139723188;Noisy
141602548;Noisy
141620982;Noisy
142491300;Noisy
142781574;Noisy
148624156;Noisy
149368979;Noisy
149441063;Noisy
149442831;Noisy
149468778;Noisy
150362541;Noisy
154510451;Noisy
156423894;Noisy
156623726;Noisy
157982674;Noisy
158918567;Noisy
159923054;Noisy
160603215;Noisy
162576788;Noisy
162594193;Noisy
165312944;Noisy
167746025;Noisy
172570604;Noisy
173008025;Noisy
184427882;Noisy
186513548;Noisy
188633484;Noisy
192063894;Noisy
193600962;Noisy
198106374;Noisy
198390914;Noisy
198537188;Noisy
198614726;Noisy
199572361;Noisy
199687979;Noisy
199713570;Noisy
202351745;Noisy
202352600;Noisy
202354658;Noisy
202444159;Noisy
202491630;Noisy
207440585;Noisy
219492314;Noisy
219509849;Noisy
219773853;Noisy
229486109;Noisy
229593795;Noisy
229664008;Noisy
230004050;Noisy
230376298;Noisy
232521983;Noisy
232615474;Noisy
233056547;Noisy
233073319;Noisy
233094446;Noisy
233130512;Noisy
233170098;Noisy
233211303;Noisy
233497379;Noisy
233535488;Noisy
233571681;Noisy
233635622;Noisy
235716106;Noisy
235716442;Noisy
236770588;Noisy
236972980;Noisy
237197184;Noisy
238719326;Noisy
239122172;Noisy
240109525;Noisy
240826471;Noisy
241065253;Noisy
243366614;Noisy
243520386;Noisy
248949857;Noisy
252991559;Noisy
252997535;Noisy
256662953;Noisy
257024892;Noisy
258700451;Noisy
258844836;Noisy
258924365;Noisy
259171045;Noisy
261131970;Noisy
261134863;Noisy
264305622;Noisy
264468331;Noisy
266347283;Noisy
268605693;Noisy
269598007;Noisy
273875093;Noisy
274192238;Noisy
274331770;Noisy
274385041;Noisy
274623605;Noisy
275504377;Noisy
275691308;Noisy
279826483;Noisy
283818445;Noisy
283870336:Noisy
284562929;Noisy
284735369;Noisy
285010437;Noisy
285194955;Noisy
286916209;Noisy
287141559;Noisy
288316744;Noisy
288639535;Noisy
298109741;Noisy
298542142;Noisy
298601073;Noisy
298663903;Noisy
309591474;Noisy
311521201;Noisy
313007038;Noisy
318252726;Noisy
318357716;Noisy
331553315;Noisy
332210657;Noisy
334901449;Noisy
341816971;Noisy
346597868;Noisy
356107943;Noisy
356674547;Noisy
357032981;Noisy
362105045;Noisy
367003034;Noisy
368827573;Noisy
376869778;Noisy
377053047;Noisy
377309425;Noisy
379203908;Noisy
388940683;Noisy
398912586;Noisy
406931389;Noisy
409233684;Noisy
415820931;Noisy
416542110;Noisy
418011185;Noisy
420114700;Noisy
421335341;Noisy
422331664;Noisy
423026102;Noisy
424383364;Noisy
424720852;Noisy
424903953;Noisy
435866273;Noisy
437746793;Noisy
441687165;Noisy
441713413;Noisy
441715327;Noisy
443848410;Noisy
444061855;Noisy
445831245;Noisy
453366788;Noisy
455755305;Noisy
458452988;Noisy
460090329;Noisy
461658287;Noisy
467178271;Noisy
8773089;Noisy
40050637;Modul
349920226;Noisy
407742096;Noisy